Row,IE_effect,SE_effect,IE_thresh_signif,SE_thresh_signif,IE_thresh,SE_thresh,SE_slope,Storage_thresh_signif,Storage_thresh
IE_effect,1,-0.526575678317695,-0.622262826574251,-0.321930268810112,0.463362539234401,0.172779147218507,0.345106135151765,-0.271103258383002,0.199181602795641
SE_effect,-0.526575678317695,1,0.30830696049993,-0.20414991050036,-0.132147352378664,0.284343607875628,-0.196500302773848,-0.25163906326986,0.299282509892358
IE_thresh_signif,-0.622262826574251,0.30830696049993,1,0.550418819953006,-0.813410178254697,-0.394552932488973,-0.547036751192204,0.449508187771462,-0.365628566890237
SE_thresh_signif,-0.321930268810112,-0.20414991050036,0.550418819953006,1,-0.53324952269442,-0.606473263612001,-0.531994461909085,0.753524918611363,-0.550944935974182
IE_thresh,0.463362539234401,-0.132147352378664,-0.813410178254697,-0.53324952269442,1,0.691736646184374,0.400831628087975,-0.364016357327346,0.659667286935602
SE_thresh,0.172779147218507,0.284343607875628,-0.394552932488973,-0.606473263612002,0.691736646184374,1,0.234764708947835,-0.44047965143629,0.956556867666693
SE_slope,0.345106135151765,-0.196500302773848,-0.547036751192204,-0.531994461909085,0.400831628087975,0.234764708947835,1,-0.415024392106231,0.179743880706473
Storage_thresh_signif,-0.271103258383002,-0.25163906326986,0.449508187771462,0.753524918611363,-0.364016357327346,-0.44047965143629,-0.41502439210623,1,-0.428595440053463
Storage_thresh,0.199181602795641,0.299282509892358,-0.365628566890237,-0.550944935974182,0.659667286935602,0.956556867666693,0.179743880706473,-0.428595440053463,1
