IE_effect,SE_effect,IE_thresh_signif,SE_thresh_signif,IE_thresh,SE_thresh,SE_slope,Storage_thresh_signif,Storage_thresh,min_Qf_perc,OF_error_str,aridity,frac_snow,p_seasonality,p_mean,high_prec_freq,pet_mean,clay_frac,sand_frac,slope,elevation,gauge_lat,gauge_lon,gauge_id,country,area
0,0.764402772010613,3.64934076148016e-05,1.07855835373982e-10,6.99541187988923,14.1919654629761,0.347069918984867,0,25.4544810147137,0,,0.587356423405076,0.245259009248271,-0.114529586491395,3.60812594113621,20.55,2.11925594798084,12.0376458109105,59.3901561620653,17.79072,92.68,44.60797,-67.93524,1022500,1,573.6
-0.0759408568205737,0.682579500556731,1,0.3087018961174,1.12580049719751e-08,4.24963291674048,0.167009243442341,6.3910388665378e-05,16.820966517393,0,,0.624111385131731,0.27701840295357,0.0473581892739792,3.2744052019165,17.15,2.04359356605065,14.7768237774889,32.2354584281651,12.79195,143.8,45.50097,-68.30596,1030500,1,3676.17
0,0.735843419401491,6.50076572017433e-07,3.32867067243114e-12,8.07699566429095,15.4681113540056,0.468224580759909,0,25.9828471893478,0,,0.587950340389816,0.291836473001958,0.104090599122482,3.5229568788501,18.9,2.07132369609856,12.6541253158485,35.2690304364436,29.56035,247.8,45.17501,-69.3147,1031500,1,769.05
0.0799800947354007,0.677627147175677,1.67729541367123e-09,3.33066907387547e-16,9.05752028392852,15.7152837550726,0.516976881712208,0,25.3989683514542,0,,0.628929335570973,0.280118126940736,0.147775613761867,3.32314579055441,20.1,2.09002387405886,10.3036221035119,55.1631334746983,49.92122,310.38,44.8692,-69.9551,1047000,1,909.1
0.166681638239579,0.535333903022386,0,0,10.9260156229221,18.880434032219,0.60287618313383,0,31.7309690240889,0,,0.523306104932953,0.299641539662879,0.104959634640742,4.06713210130048,17.5,2.12835505817933,9.8512616206335,58.3761691803075,90.13951,472.31,44.39044,-70.97964,1054200,1,180.98
-0.0720397414758126,0.740719449704006,2.9117605659934e-08,2.22044604925031e-16,8.569258060181,15.7971888709984,0.372380061921441,0,29.3124771355182,0,,0.597323619284961,0.251157672769098,0.07913684920672,3.57049965776865,20.35,2.13274377823409,7.81756497511796,69.0067380924153,32.68445,215.59,44.30399,-70.53968,1057000,1,190.92
0,0.672527930761709,0,0,14.6016611838335,25.6190527948663,0.45296255692467,0,34.5819089564706,0,,0.63020261356176,0.17503243505174,0.0303700126107958,3.50302532511978,20.85,2.20761571526352,9.96726611619389,56.5709613142528,4.75043,37.67,43.1487,-70.96506,1073000,1,31.3
0,0.661070139910193,1.57207580286922e-12,0,10.2671707811586,18.5959428562392,0.383561592964218,0,30.3074515834152,0,,0.613026372714384,0.23971852199071,0.110482096549246,3.56288843258042,21.45,2.18414457221081,7.84827933386679,69.1574064409555,49.77182,346.92,43.56646,-71.74786,1078000,1,222.46
0,0.644939424187373,2.48085581744384e-07,2.95648588877206e-06,6.73284903721476,8.43416415321829,0.260973949524649,0,19.9881997000565,0,,0.592707672054773,0.111232483325858,-0.0377431870575169,3.89743052703628,21.5,2.31003697467488,9.27338817022774,60.6078418148624,8.76539,36.7,41.47482,-71.83424,1118300,1,10.36
0.18213872241262,0.558097020304321,1.5357048965825e-11,7.7715611723761e-16,8.68879806659489,12.6657843130434,0.34580369238983,0,24.7995291274493,0,,0.618726258767883,0.154227151059507,0.0040983243960094,3.71959069130732,21.5,2.30140843258042,9.16666302248182,55.8139475319881,16.99385,141.54,41.84371,-72.16897,1121000,1,70.25
0.242342416380908,0.454755105108963,8.90232332295682e-12,5.11028645178158e-07,8.9326042209783,9.9215679444493,0.232196019552723,0,21.8584524650242,0,,0.603082478614581,0.136053399026134,-0.00119003057174594,3.82424229979466,21.15,2.30633352498289,8.68936820600364,52.7468947865066,17.14893,120.1,41.67177,-72.0523,1123000,1,77.85
0,0.637639425524507,0.00323645462910949,4.40017484470978e-06,5.34783758008553,9.75420837944022,0.372656750482288,1.78235204373323e-12,19.4652801404442,0,,0.603244622366455,0.280582089228151,0.228672352531939,3.46741273100616,15.85,2.09169808350445,12.7242065002526,42.585993241047,47.54354,450.54,44.51172,-71.83731,1134500,1,195.13
0.0739996587761071,0.54926715361167,0.00070687765613231,5.03717158684136e-05,5.45191399064953,7.96241958395073,0.24784494149178,3.84108300721664e-11,16.0174594834702,0,,0.674413209612946,0.246562671549799,0.232161714254733,3.13454757015743,18.65,2.11398028747433,13.2940923014263,44.4566152734926,43.10796,373.34,44.15034,-72.06509,1139000,1,246.33
0,0.538441012882994,0.986345067242294,0.468938524552147,0.0414878390795521,1.99038762371956,0.150241516282671,0.00584341212936645,9.42645734782599,0,,0.643915671936808,0.26232897318021,0.225579083207184,3.30351540041068,19.45,2.12718533880903,13.0981757727454,45.3148045496031,40.99895,518.15,44.09284,-72.33565,1139800,1,22.8
0,0.583777190203714,0.0328034481290224,0.000283478063710207,4.42117528600414,8.25997675880858,0.215504317962421,5.95284377347127e-10,17.2572537066742,0,,0.647740582076158,0.252307890542821,0.174619920121052,3.31467077344285,19.8,2.1470467761807,14.4385761371773,43.4065961376093,46.92575,346.62,43.93451,-72.65788,1142500,1,82.17
0,0.646987171973778,0.0327298847639538,0.000192892903977282,4.32266296861122,8.3291367747627,0.242960336881964,5.22620391407713e-10,17.2975165890442,0,,0.630759674709817,0.248466348504845,0.191150163759349,3.42085968514716,19.05,2.15774034223135,13.0823952320539,44.9595193026269,60.29261,459.8,43.71424,-72.41815,1144000,1,1790.24
