IE_effect,SE_effect,IE_thresh_signif,SE_thresh_signif,IE_thresh,SE_thresh,SE_slope,Storage_thresh_signif,Storage_thresh,min_Qf_perc,OF_error_str
0,0.764402772010613,3.64934076148016e-05,1.07855835373982e-10,6.99541143670229,14.1919674672902,0.347069932955183,0,25.4544791056422,0,
-0.0759408568205736,0.682579500556731,1,0.308701896119587,1.12581596527988e-08,4.24963802723638,0.167009260237211,6.3910388665378e-05,16.8209649919924,0,
0,0.735843419401491,6.50076572017433e-07,3.32867067243114e-12,8.07699666184092,15.4681107660989,0.46822457501785,0,25.9828496324098,0,
0.0799800947354006,0.677627147175676,1.67729541367123e-09,3.33066907387547e-16,9.05751955924531,15.7152843911235,0.516976889351157,0,25.3989677641862,0,
0.166681638239579,0.535333903022386,0,0,10.9260163264228,18.8804351790153,0.602876193569566,0,31.7309692048892,0,
-0.0720397414758126,0.740719449704006,2.9117605659934e-08,2.22044604925031e-16,8.56925975573058,15.7971879550739,0.372380051440338,0,29.3124788747098,0,
0,0.672527930761709,0,0,14.6016617589887,25.6190514687276,0.452962548223687,0,34.5819098276228,0,
0,0.661070139910192,1.57207580286922e-12,0,10.2671712219766,18.5959431538151,0.383561601325243,0,30.3074519524191,0,
0,0.644939424187373,2.48085581744384e-07,2.95648588877206e-06,6.73285422954982,8.43416131070399,0.260973942753034,0,19.9881995129525,0,
0.18213872241262,0.558097020304321,1.5357048965825e-11,7.7715611723761e-16,8.68879861565369,12.6657823948437,0.345803675269272,0,24.7995307946075,0,
0.242342416380908,0.454755105108963,8.90232332295682e-12,5.11028645178158e-07,8.93260381386345,9.92156685281468,0.232196013113789,0,21.8584544389177,0,
0,0.637639425524508,0.00323645462910771,4.40017484470978e-06,5.34783749935888,9.75420615221236,0.372656731395441,1.78235204373323e-12,19.4652799287887,0,
0.0739996587761071,0.549267153611669,0.000706877656132532,5.03717158683026e-05,5.45191244142683,7.96241882671875,0.247844936248876,3.84108300721664e-11,16.0174595441214,0,
0,0.538441012882994,0.986354712023514,0.468938525220472,0.0427391732895874,1.99050281694933,0.150241911902303,0.00584341212936645,9.42645509301095,0,
0,0.583777190203713,0.0328034481290456,0.00028347806371376,4.42117630753899,8.25996788087259,0.215504275169508,5.95284377347127e-10,17.2572518992838,0,
0,0.646987171973777,0.0327298847639825,0.000192892903977948,4.32266704043317,8.32914407642994,0.24296038080426,5.22620391407713e-10,17.2975178912987,0,
-0.0517253991809525,0.731055655578528,0.00241244552052378,9.3303631487629e-10,5.72070830016386,12.4903992797159,0.263495699070407,0,25.8356479294888,0,
0.096414880981141,0.599675678802804,2.29583130284539e-09,4.09468015050152e-11,9.15991225719016,13.9973927936944,0.381334552138544,0,26.2153686787632,0,
0.150772011309664,0.516319425166294,5.23871507285278e-08,1.84980919470945e-11,8.62600345671316,13.6831953191672,0.339200241222024,0,25.2723729719302,0,
0.0878432817879025,0.609593161530347,1.10162481359311e-08,6.21619533625051e-10,8.48108023256091,12.3569295053121,0.387126859559648,0,25.0900131474021,0,
0.0993208890876461,0.608188624159761,1.84081305754091e-10,8.0071616004318e-10,8.8774249364739,11.6558684569502,0.37764915244038,0,23.8460421287263,0,
0.162313596385555,0.428702342418948,5.6732279651861e-08,2.88020414578316e-05,7.76465610745391,8.20435433683234,0.242723023994304,6.66133814775094e-16,19.1367154078534,0,
0.0887725151280015,0.557479634740464,0.00579901046268105,0.00281783329310725,4.98778212255225,7.29036057656368,0.250937722844293,2.06595851537372e-11,18.8468599009384,0,
0.0997945379542198,0.647123310057985,1.11022302462516e-16,0,11.8104932109767,21.7921791569932,0.520891897316615,0,32.9531126802711,0,
0.0881366341297953,0.517175212477754,6.11025472663229e-07,3.12137663203149e-05,8.51000184312685,10.6230501934412,0.250105111821156,1.5654699758727e-11,21.1712865873179,0,
0.153118990708845,0.454022186654982,0.00299514168315007,0.00740994244749393,6.4383375942104,8.11589450142708,0.262035454924667,1.45125254757961e-06,18.1090122187684,0,
0.101905135347579,0.653321021220759,1.35003119794419e-13,0,11.956260070972,19.8721989741786,0.450154157245277,0,33.289340485106,0,
0.03202680423025,0.714003302660021,7.7715611723761e-16,1.0769163338864e-14,10.5302652095772,18.6855537929759,0.140647764679562,0,29.6137113484211,0,
0.139262892026889,0.573951433372529,5.26208510098769e-09,3.93566290668446e-10,9.64470428404544,16.0217096906964,0.326563496364358,0,27.6473525495564,0,
0.0974216587509979,0.533636304184691,6.02539351746145e-10,3.85800211777365e-08,9.54851768993542,13.1952425857308,0.333399904541106,2.22044604925031e-16,24.0069886398729,0,
0.0610272323285942,0.604012707736067,4.80052092521888e-08,8.92313449796234e-08,8.37929843698124,12.0519907517161,0.297814706896629,1.11022302462516e-16,23.2527224714306,0,
0.0539625927227181,0.603615826068948,2.3190439013554e-08,3.91876284422388e-07,8.95819788395693,13.3929380297948,0.313961089060541,6.32827124036339e-15,25.4708369175226,0,
0.110328867368732,0.640561114381367,5.7772120420907e-11,2.64669397509465e-11,10.5778399702049,15.5109599140849,0.437435559416807,0,28.7601361387198,0,
0.228273442535661,0.576659466604514,0,0,12.8450383131186,19.0129288964192,0.505843466187279,0,32.6859001884461,0,
0.0731368880545319,0.626837855276431,1.47815362427917e-06,3.97031962862116e-10,8.31051362810526,13.9186279713012,0.279780100943987,0,26.7786753880199,0,
0.0969942163394299,0.602032794179636,3.14500947506957e-09,6.51989573441369e-12,8.86151940031508,13.5334070680268,0.283519072559163,0,24.7386625133047,0,
