groundwater_quantile_mat1,groundwater_quantile_mat2,groundwater_quantile_mat3,groundwater_quantile_mat4,groundwater_quantile_mat5
0.0256449402178981,0.261885542105922,0.365963759033281,0.49331643427815,0.951753464950793
0.00953178302269749,0.13772762041329,0.206775786336147,0.282129106283005,0.722063422835079
0.301320450480385,0.622965414842632,0.956712948722661,1.74085073777434,4.01864533290074
0.276280515471119,0.715413803413398,0.914983961158,1,1.18159948645758
154.463859329757,347.45525383926,474.122595999997,642.844502128063,2881.0582460053
217.736925615148,409.056176524727,568.432413822135,835.836734852881,3267.33980843162
0.444901675794775,1.09754777799209,1.60044986912973,2.46226906775579,5.68144151057635
64.1968530736546,148.648348866957,207.455032022591,278.29202808498,582.402753429595
1.20005276766903,2.0181912494712,2.51525870266025,3.46367527826805,7.76786759248789
2.64626215193441,9.54447120419358,14.4682733719166,22.1344105044518,91.3124516929407
1,2,3,3,3
0.0588364370054568,0.377524949487448,0.525100418095077,0.697467452085522,0.975832641393865
0.020465104075898,0.0807067415802122,0.112532871913675,0.165649225776204,0.492033224482067
0.0148189607301387,0.236433876222127,0.460338569529221,0.765547876799402,2.04084974506586
0.0219853783462028,0.117085733980144,0.165661127862071,0.243684536298826,0.895122275918125
0.25007595143678,0.504943095779794,0.553311821543985,0.635249090090638,0.906565849663392
0.0784906315276547,0.247862932493538,0.354784305795084,0.506822570117759,1.16646290819092
